+-------------------------------------------+
| Registry name | Name | Type | Rarity | ID |
| x_enchant:increment_attack_damage | enchantment.x_enchant.increment_attack_damage | WEAPON | VERY_RARE (1) | 181 |
| x_enchant:king_kong_legs | enchantment.x_enchant.king_kong_legs | ARMOR_LEGS | UNCOMMON (5) | 174 |
| x_enchant:librarian | enchantment.x_enchant.librarian | FISHING_ROD | RARE (2) | 177 |
| x_enchant:magic_immune | enchantment.x_enchant.magic_immune | ARMOR_CHEST | VERY_RARE (1) | 180 |
| x_enchant:more_loot | enchantment.x_enchant.more_loot | WEAPON | RARE (2) | 176 |
| x_enchant:night_break | enchantment.x_enchant.night_break | WEAPON | VERY_RARE (1) | 184 |
| x_enchant:quick_shot | enchantment.x_enchant.quick_shot | BOW | UNCOMMON (5) | 173 |
| x_enchant:rebirth | enchantment.x_enchant.rebirth | ARMOR_CHEST | UNCOMMON (5) | 171 |
| x_enchant:regicide | enchantment.x_enchant.regicide | BREAKABLE | RARE (2) | 189 |
| x_enchant:smart | enchantment.x_enchant.smart | ARMOR_HEAD | VERY_RARE (1) | 182 |
| x_enchant:suck_blood | enchantment.x_enchant.suck_blood | WEAPON | RARE (2) | 175 |
| x_enchant:thin | enchantment.x_enchant.thin | BREAKABLE | COMMON (10) | 186 |
| x_enchant:timor | enchantment.x_enchant.timor | ARMOR_FEET | COMMON (10) | 170 |
| x_enchant:weakness | enchantment.x_enchant.weakness | WEAPON | VERY_RARE (1) | 179 |
| yigd:death_sight | enchantment.yigd.death_sight | ARMOR_HEAD | RARE (2) | 192 |
| yigd:soulbound | enchantment.yigd.soulbound | VANISHABLE | VERY_RARE (1) | 191 |
+-------------------------------------------+
| Registry name | Name | Type | Rarity | ID |
+-------------------------------------------+
